concurrency,prompt_type,ttft_ms,tpot,total_latency_ms,tokens_generated,stop_setting
4,long,361.59,16.02,1048.18,11,single_newline
4,long,349.33,16.53,712.42,6,single_newline
4,long,347.98,52748.17,348.00,1,single_newline
4,long,348.00,24.31,2898.54,62,single_newline
4,long,347.96,15.31,1262.60,14,single_newline
8,short,302.18,9.25,1275.29,9,none
8,short,301.71,11.90,6518.82,74,none
8,short,301.60,12.59,10466.12,128,none
8,short,301.65,12.59,10466.12,128,none
8,short,301.55,11.28,3759.69,39,none
8,short,301.56,12.59,10466.02,128,none
8,short,301.54,11.26,3233.15,33,none
8,short,174.91,12.54,10385.60,128,none
8,short,314.47,13.56,978.15,9,none
8,short,308.48,13.08,10097.44,128,none
8,short,308.30,13.08,10097.39,128,none
8,short,308.18,12.98,9550.69,120,none
8,short,308.11,13.12,3052.13,36,none
8,short,307.89,13.08,10097.06,128,none
8,short,307.78,12.98,4775.36,58,none
8,short,202.34,12.79,8570.18,107,none
8,short,234.23,12.80,4764.60,58,none
8,short,226.57,13.06,10029.17,128,none
8,short,226.55,13.06,10029.10,128,none
8,short,226.46,13.06,10028.78,128,none
8,short,226.51,12.50,3267.48,38,none
8,short,115.28,12.92,7312.08,93,none
8,short,226.40,13.01,1071.82,11,none
8,short,226.46,13.06,10028.94,128,none
8,short,401.79,10.50,1259.13,9,double_newline
8,short,396.15,14.61,533.08,2,double_newline
8,short,270.45,9.10,929.79,6,double_newline
8,short,396.17,10.15,1184.18,8,double_newline
8,short,396.16,12.10,2462.08,25,double_newline
8,short,396.15,10.92,1403.55,11,double_newline
8,short,396.10,11.11,1476.36,12,double_newline
8,short,396.13,19.38,4626.46,82,double_newline
8,short,350.48,12.71,1058.52,9,double_newline
8,short,170.43,18.94,276.02,2,double_newline
8,short,276.00,12.09,9873.47,116,double_newline
8,short,275.94,12.58,832.39,7,double_newline
8,short,275.57,12.57,2900.69,33,double_newline
8,short,275.57,12.77,1137.27,11,double_newline
8,short,275.89,12.78,1215.01,12,double_newline
8,short,275.55,12.68,10369.47,128,double_newline
8,short,629.92,13.56,1293.79,9,double_newline
8,short,478.84,13.71,697.63,3,double_newline
8,short,478.76,13.23,932.31,6,double_newline
8,short,478.74,12.93,1020.05,7,double_newline
8,short,359.88,12.87,3700.70,43,double_newline
8,short,478.69,13.63,9285.33,120,double_newline
8,short,478.67,12.34,1451.01,12,double_newline
8,short,478.68,14.04,9593.70,128,double_newline
8,short,231.25,7.75,1392.23,9,single_newline
8,short,228.13,23.62,312.81,2,single_newline
8,short,228.07,12.23,3498.11,40,single_newline
8,short,228.07,8.01,1226.66,8,single_newline
8,short,228.05,12.19,3919.16,45,single_newline
8,short,228.03,8.83,1473.16,11,single_newline
8,short,117.84,8.12,1473.08,11,single_newline
8,short,227.90,17.48,5835.45,98,single_newline
8,short,208.68,14.18,843.45,9,single_newline
8,short,208.21,26.09,284.85,2,single_newline
8,short,208.19,13.54,5967.60,78,single_newline
8,short,208.18,16.24,700.67,8,single_newline
8,short,208.13,13.38,2972.61,37,single_newline
8,short,208.02,16.99,7740.25,128,single_newline
8,short,208.12,13.64,1014.51,11,single_newline
8,short,97.01,13.34,5418.17,71,single_newline
8,short,202.39,13.56,866.19,9,single_newline
8,short,201.29,24.50,282.93,2,single_newline
8,short,201.25,13.67,7880.79,105,single_newline
8,short,201.21,13.52,3602.57,46,single_newline
8,short,201.09,13.23,3602.64,45,single_newline
8,short,201.19,13.68,8025.05,107,single_newline
8,short,94.49,12.88,948.76,11,single_newline
8,short,201.15,14.99,8740.74,128,single_newline
8,long,802.08,10.83,12617.72,128,none
8,long,801.74,10.83,12622.64,128,none
8,long,141.58,10.33,12537.87,128,none
8,long,801.30,10.83,12619.30,128,none
8,long,801.20,10.83,12619.26,128,none
8,long,801.28,10.83,12622.19,128,none
8,long,801.26,10.83,12622.15,128,none
8,long,801.25,10.83,12622.12,128,none
8,long,1099.45,12.19,11599.82,128,none
8,long,457.97,11.57,11517.20,128,none
8,long,1096.25,12.19,11596.62,128,none
8,long,1096.24,12.19,11596.61,128,none
8,long,1096.23,12.19,11596.61,128,none
8,long,1096.16,12.19,11596.54,128,none
8,long,1096.02,12.19,11596.40,128,none
8,long,1096.02,12.19,11596.50,128,none
8,long,1004.96,12.23,11470.04,128,none
8,long,1002.05,12.23,11464.43,128,none
8,long,1001.97,12.24,11462.89,128,none
8,long,246.71,11.47,11401.91,128,none
8,long,1001.86,12.24,11462.80,128,none
8,long,1001.69,12.24,11462.67,128,none
8,long,1001.92,12.23,11464.23,128,none
8,long,1001.93,12.23,11467.03,128,none
8,long,870.64,6.11,4307.02,21,double_newline
8,long,860.85,12.50,1500.86,8,double_newline
8,long,860.77,8.65,6180.22,46,double_newline
8,long,860.73,12.70,10940.97,128,double_newline
8,long,860.66,10.18,1744.70,9,double_newline
8,long,860.70,12.23,1432.91,7,double_newline
8,long,262.30,4.30,3747.00,15,double_newline
8,long,860.69,9.82,9010.69,80,double_newline
8,long,807.05,12.73,1749.66,12,double_newline
8,long,791.62,12.49,1912.16,14,double_newline
8,long,791.46,12.79,1260.71,6,double_newline
8,long,791.45,12.15,6056.97,64,double_newline
8,long,791.30,12.66,1581.39,10,double_newline
8,long,791.21,12.63,1424.83,8,double_newline
8,long,242.28,11.05,3409.43,35,double_newline
8,long,791.02,14.21,7615.01,97,double_newline
8,long,783.93,13.76,1437.94,9,double_newline
8,long,782.63,13.03,1703.82,12,double_newline
8,long,782.59,12.24,2171.81,17,double_newline
8,long,782.52,12.00,2949.89,26,double_newline
8,long,782.53,13.76,1436.50,9,double_newline
8,long,782.51,14.01,1353.33,8,double_newline
8,long,782.50,19.44,7365.68,128,double_newline
8,long,206.94,8.37,1521.72,11,double_newline
8,long,731.42,13.58,1394.11,9,single_newline
8,long,730.47,13.58,1393.17,9,single_newline
8,long,169.38,14.06,3513.25,47,single_newline
8,long,730.23,13.18,1792.78,14,single_newline
8,long,730.38,15.93,1106.95,6,single_newline
8,long,730.35,15.94,1106.83,6,single_newline
8,long,730.28,13.00,2037.69,17,single_newline
8,long,730.28,13.03,2802.79,27,single_newline
8,long,743.26,9.46,1906.18,11,single_newline
8,long,741.80,10.21,2308.16,16,single_newline
8,long,741.90,10.82,2498.30,19,single_newline
8,long,742.35,9.44,1695.55,9,single_newline
8,long,742.44,9.50,1584.11,8,single_newline
8,long,741.84,8.54,1327.15,5,single_newline
8,long,742.37,9.44,1695.55,9,single_newline
8,long,742.33,10.04,2236.95,15,single_newline
8,long,735.03,14.23,1367.70,9,single_newline
8,long,734.44,14.45,1288.19,8,single_newline
8,long,734.47,17.17,2831.29,36,single_newline
8,long,734.44,13.36,1857.41,15,single_newline
8,long,734.43,14.23,1367.05,9,single_newline
8,long,734.27,14.00,1448.40,10,single_newline
8,long,734.40,13.17,2176.97,19,single_newline
8,long,734.38,13.36,1857.32,15,single_newline
16,short,321.16,8.50,1379.46,9,none
16,short,320.62,9.75,5040.61,46,none
16,short,320.62,9.74,13457.31,128,none
16,short,320.60,9.63,10495.97,98,none
16,short,320.57,9.50,3688.59,32,none
16,short,320.55,9.74,13457.23,128,none
16,short,320.49,8.65,1592.07,11,none
16,short,320.50,9.74,13457.02,128,none
16,short,320.45,8.52,1376.69,9,none
16,short,320.50,9.74,13457.18,128,none
16,short,320.47,9.74,13457.15,128,none
16,short,320.31,9.74,13457.03,128,none
16,short,320.46,9.42,2762.07,23,none
16,short,320.42,9.72,7108.75,66,none
16,short,320.41,8.65,1592.09,11,none
16,short,320.40,9.62,12892.83,121,none
16,short,630.93,4.84,7656.76,34,none
16,short,620.60,4.58,7177.80,30,none
16,short,620.90,7.61,17451.90,128,none
16,short,620.89,7.04,14535.24,98,none
16,short,620.73,4.95,8097.27,37,none
16,short,620.75,7.61,17444.32,128,none
16,short,620.74,4.85,7830.83,35,none
16,short,620.76,7.61,17444.30,128,none
16,short,620.72,2.68,3982.24,9,none
16,short,620.68,7.61,17444.24,128,none
16,short,620.73,7.61,17446.98,128,none
16,short,620.69,7.61,17446.93,128,none
16,short,620.65,4.64,6877.32,29,none
16,short,620.70,7.61,17446.96,128,none
16,short,620.61,2.79,4563.82,11,none
16,short,259.94,7.58,17143.59,128,none
16,short,1167.22,8.38,8806.57,64,none
16,short,1077.96,3.51,1647.19,2,none
16,short,1077.70,8.82,11507.88,92,none
16,short,1077.80,8.80,15048.81,123,none
16,short,1077.42,7.31,6001.65,36,none
16,short,1077.35,8.79,15641.56,128,none
16,short,1077.30,5.18,3199.69,11,none
16,short,1077.30,8.79,15641.55,128,none
16,short,824.62,6.83,5363.37,31,none
16,short,1077.23,8.85,13049.03,106,none
16,short,1077.28,8.72,15640.58,127,none
16,short,1077.28,8.76,15457.56,126,none
16,short,1077.24,7.12,5572.84,32,none
16,short,1076.95,8.79,15640.57,128,none
16,short,1077.27,5.18,3201.15,11,none
16,short,1076.61,8.79,15640.84,128,none
16,short,1390.49,8.66,5315.91,34,double_newline
16,short,803.08,3.59,1359.79,2,double_newline
16,short,802.90,8.58,15727.51,128,double_newline
16,short,600.50,5.80,1980.61,8,double_newline
16,short,802.93,8.22,6523.50,47,double_newline
16,short,802.93,8.57,15738.18,128,double_newline
16,short,802.81,5.85,2853.96,12,double_newline
16,short,802.74,8.57,15734.51,128,double_newline
16,short,1359.28,8.56,3928.69,22,double_newline
16,short,802.71,8.57,15738.08,128,double_newline
16,short,802.61,8.26,7707.22,57,double_newline
16,short,802.61,5.94,1980.24,7,double_newline
16,short,802.68,8.25,6740.49,49,double_newline
16,short,802.53,5.85,2853.66,12,double_newline
16,short,802.45,8.21,6284.74,45,double_newline
16,short,802.18,8.57,15733.83,128,double_newline
16,short,1264.92,10.50,6976.66,60,double_newline
16,short,911.61,6.36,1226.23,2,double_newline
16,short,911.48,7.77,1297.67,3,double_newline
16,short,911.48,10.09,5666.61,48,double_newline
16,short,911.39,10.35,4680.55,39,double_newline
16,short,910.94,9.94,9359.78,84,double_newline
16,short,910.75,9.67,7632.21,65,double_newline
16,short,633.87,9.86,10469.81,97,double_newline
16,short,1224.59,10.28,2100.03,9,double_newline
16,short,910.88,6.35,1225.65,2,double_newline
16,short,910.75,10.21,4828.07,40,double_newline
16,short,910.71,8.06,1902.96,8,double_newline
16,short,910.73,10.14,3671.52,28,double_newline
16,short,910.72,10.01,10601.56,97,double_newline
16,short,910.81,8.74,2283.67,12,double_newline
16,short,910.72,10.11,5954.41,51,double_newline
16,short,3504.27,3.99,15790.18,49,double_newline
16,short,350.86,5.98,685.19,2,double_newline
16,short,685.21,1.36,12462.37,16,double_newline
16,short,684.92,0.74,11485.14,8,double_newline
16,short,684.91,2.76,14467.15,38,double_newline
16,short,685.13,4.82,18338.14,85,double_newline
16,short,685.11,1.07,11933.52,12,double_newline
16,short,684.29,4.91,18590.14,88,double_newline
16,short,3497.50,2.90,13825.86,30,double_newline
16,short,684.82,0.71,3496.47,2,double_newline
16,short,684.76,0.91,11686.92,10,double_newline
16,short,685.05,0.74,11488.72,8,double_newline
16,short,685.04,2.86,14693.49,40,double_newline
16,short,684.79,0.99,11770.38,11,double_newline
16,short,684.75,1.07,11932.71,12,double_newline
16,short,684.72,6.44,20559.06,128,double_newline
16,short,574.49,8.31,15985.33,128,single_newline
16,short,564.23,1.57,1200.20,1,single_newline
16,short,564.14,4.78,5380.68,23,single_newline
16,short,564.07,6.45,1805.15,8,single_newline
16,short,564.06,5.39,6501.03,32,single_newline
16,short,564.06,4.62,2942.50,11,single_newline
16,short,349.65,5.89,8331.62,47,single_newline
16,short,564.00,5.50,6743.15,34,single_newline
16,short,563.97,5.49,6392.91,32,single_newline
16,short,563.87,1.57,1199.13,1,single_newline
16,short,564.02,6.45,1805.22,8,single_newline
16,short,564.01,6.45,1805.22,8,single_newline
16,short,563.99,6.32,9105.21,54,single_newline
16,short,563.63,4.81,3056.39,12,single_newline
16,short,563.58,4.41,3056.33,11,single_newline
16,short,563.58,8.31,15973.00,128,single_newline
16,short,685.54,6.87,5489.75,33,single_newline
16,short,676.54,4.31,1371.95,3,single_newline
16,short,676.50,5.77,3971.29,19,single_newline
16,short,676.46,6.35,10442.61,62,single_newline
16,short,676.45,6.74,6164.79,37,single_newline
16,short,676.47,6.44,2384.77,11,single_newline
16,short,676.47,4.28,3244.18,11,single_newline
16,short,676.39,6.73,8705.29,54,single_newline
16,short,676.39,9.80,13731.17,128,single_newline
16,short,675.04,3.44,1256.62,2,single_newline
16,short,674.83,6.08,4785.81,25,single_newline
16,short,674.94,6.66,11335.98,71,single_newline
16,short,674.91,5.90,4402.29,22,single_newline
16,short,674.94,6.40,9424.80,56,single_newline
16,short,432.16,6.65,5246.02,32,single_newline
16,short,674.92,6.40,9581.72,57,single_newline
16,short,373.38,6.79,5671.60,36,single_newline
16,short,371.32,1.71,954.98,1,single_newline
16,short,159.60,6.06,1810.98,10,single_newline
16,short,372.29,6.81,1547.05,8,single_newline
16,short,372.26,7.04,6623.11,44,single_newline
16,short,371.36,8.40,12038.98,98,single_newline
16,short,371.31,4.20,2987.30,11,single_newline
16,short,371.30,8.48,11687.79,96,single_newline
16,short,371.31,5.51,2003.74,9,single_newline
16,short,371.32,3.42,956.82,2,single_newline
16,short,372.19,6.38,1469.09,7,single_newline
16,short,371.26,9.68,13588.13,128,single_newline
16,short,372.14,6.79,5672.47,36,single_newline
16,short,371.25,7.29,7920.41,55,single_newline
16,short,372.13,4.21,2987.46,11,single_newline
16,short,371.24,7.16,6239.35,42,single_newline
16,long,2282.45,8.77,16879.11,128,none
16,long,2265.53,8.77,16861.66,128,none
16,long,2265.41,8.77,16861.55,128,none
16,long,2265.16,8.77,16861.36,128,none
16,long,2265.34,8.77,16861.47,128,none
16,long,2265.30,8.77,16861.42,128,none
16,long,763.87,8.06,16644.02,128,none
16,long,2265.42,8.77,16862.09,128,none
16,long,2265.04,8.77,16858.82,128,none
16,long,2264.73,8.77,16860.86,128,none
16,long,2264.84,8.77,16861.54,128,none
16,long,2264.81,8.77,16861.48,128,none
16,long,2264.64,8.77,16860.70,128,none
16,long,2264.79,8.77,16861.46,128,none
16,long,2264.15,8.77,16858.15,128,none
16,long,2264.62,8.77,16860.75,128,none
16,long,2387.87,9.20,16303.64,128,none
16,long,2315.81,9.20,16231.58,128,none
16,long,2315.59,9.20,16231.39,128,none
16,long,2315.69,9.20,16231.48,128,none
16,long,2315.31,9.20,16223.88,128,none
16,long,2315.40,9.20,16231.33,128,none
16,long,1051.29,8.57,15979.55,128,none
16,long,2315.51,9.20,16231.31,128,none
16,long,2315.60,9.20,16231.38,128,none
16,long,2315.56,9.20,16231.33,128,none
16,long,2315.48,9.20,16231.29,128,none
16,long,2315.57,9.20,16231.35,128,none
16,long,2315.46,9.20,16231.29,128,none
16,long,2315.43,9.20,16231.24,128,none
16,long,2315.49,9.20,16231.27,128,none
16,long,2315.41,9.20,16231.23,128,none
16,long,1893.86,9.17,15848.01,128,none
16,long,1853.27,9.17,15807.85,128,none
16,long,1852.79,9.17,15808.14,128,none
16,long,1852.73,9.17,15808.20,128,none
16,long,1852.62,9.17,15806.55,128,none
16,long,1852.57,9.17,15806.50,128,none
16,long,1852.29,9.17,15806.46,128,none
16,long,1852.53,9.17,15806.46,128,none
16,long,699.16,8.49,15773.87,128,none
16,long,1852.53,9.17,15806.48,128,none
16,long,1852.52,9.17,15806.46,128,none
16,long,1852.49,9.17,15806.43,128,none
16,long,1852.37,9.17,15807.79,128,none
16,long,1852.28,9.17,15806.22,128,none
16,long,1852.21,9.17,15804.43,128,none
16,long,1852.17,9.17,15806.10,128,none
16,long,2032.40,3.25,5412.88,11,double_newline
16,long,2028.55,7.39,2704.94,5,double_newline
16,long,2028.53,3.25,5409.84,11,double_newline
16,long,2028.44,4.72,29133.49,128,double_newline
16,long,2028.56,3.42,4953.89,10,double_newline
16,long,2028.45,3.58,6779.87,17,double_newline
16,long,2028.45,1.53,17738.02,24,double_newline
16,long,780.25,2.68,21332.03,55,double_newline
16,long,2028.33,1.59,17800.96,25,double_newline
16,long,2028.47,7.50,3094.59,8,double_newline
16,long,2028.47,3.14,5851.11,12,double_newline
16,long,2028.38,3.65,7228.40,19,double_newline
16,long,2028.42,7.61,3211.10,9,double_newline
16,long,2028.44,3.42,4956.02,10,double_newline
16,long,2027.94,4.72,29127.41,128,double_newline
16,long,2028.32,4.72,29134.24,128,double_newline
16,long,2837.95,2.65,6610.19,10,double_newline
16,long,1200.55,2.65,4974.08,10,double_newline
16,long,2823.39,4.83,11103.63,40,double_newline
16,long,2823.35,6.19,13489.34,66,double_newline
16,long,2823.28,4.38,4194.52,6,double_newline
16,long,2822.71,4.57,10040.79,33,double_newline
16,long,2822.71,7.57,19723.18,128,double_newline
16,long,1199.82,4.64,11970.25,50,double_newline
16,long,2822.62,2.65,6592.79,10,double_newline
16,long,2823.01,2.61,7426.14,12,double_newline
16,long,2823.01,6.30,16475.09,86,double_newline
16,long,2822.98,3.98,4079.41,5,double_newline
16,long,2822.59,2.54,7153.17,11,double_newline
16,long,2822.97,4.19,4973.42,9,double_newline
16,long,2821.14,4.24,4473.03,7,double_newline
16,long,2821.07,4.22,4717.21,8,double_newline
16,long,2108.03,0.77,13817.98,9,double_newline
16,long,625.50,0.62,7120.44,4,double_newline
16,long,2096.44,0.60,7132.86,3,double_newline
16,long,2096.45,3.36,25317.24,78,double_newline
16,long,2096.60,0.88,8909.56,6,double_newline
16,long,2096.63,0.85,8006.69,5,double_newline
16,long,2096.26,0.88,8902.09,6,double_newline
16,long,2096.33,0.98,17462.37,15,double_newline
16,long,2095.89,0.76,15301.14,10,double_newline
16,long,2096.34,0.79,16049.06,11,double_newline
16,long,2096.01,1.67,19476.90,29,double_newline
16,long,2095.92,0.98,17461.98,15,double_newline
16,long,2096.10,2.63,22664.88,54,double_newline
16,long,2095.72,0.77,13801.95,9,double_newline
16,long,2096.05,0.92,17362.83,14,double_newline
16,long,2095.98,2.43,21433.55,47,double_newline
16,long,1622.41,4.67,3550.88,9,single_newline
16,long,1608.96,4.66,3539.77,9,single_newline
16,long,1608.85,10.82,10480.47,96,single_newline
16,long,445.51,4.30,5788.90,23,single_newline
16,long,1608.77,4.44,3862.51,10,single_newline
16,long,1608.56,4.88,3248.86,8,single_newline
16,long,1608.49,5.02,5593.37,20,single_newline
16,long,1608.49,4.40,5019.21,15,single_newline
16,long,1608.45,4.66,3539.25,9,single_newline
16,long,1608.43,6.39,2391.17,5,single_newline
16,long,1608.48,4.90,3035.79,7,single_newline
16,long,1608.36,4.06,4809.32,13,single_newline
16,long,1608.44,4.90,3035.70,7,single_newline
16,long,1608.42,4.66,3539.21,9,single_newline
16,long,1608.41,8.29,9086.69,62,single_newline
16,long,1608.39,5.47,5998.53,24,single_newline
16,long,1265.46,3.51,3829.99,9,single_newline
16,long,1263.52,4.35,3103.64,8,single_newline
16,long,1263.12,3.51,3826.28,9,single_newline
16,long,1263.33,3.45,7056.86,20,single_newline
16,long,1263.31,3.51,3827.89,9,single_newline
16,long,1263.37,4.35,3103.72,8,single_newline
16,long,1263.30,3.21,6551.67,17,single_newline
16,long,165.74,2.84,2977.87,8,single_newline
16,long,1263.31,3.03,6217.07,15,single_newline
16,long,1263.27,4.35,3103.61,8,single_newline
16,long,1263.26,4.94,7941.84,33,single_newline
16,long,1263.26,2.87,6136.21,14,single_newline
16,long,1263.23,3.12,4473.23,10,single_newline
16,long,1263.23,2.79,5199.86,11,single_newline
16,long,1263.20,3.21,6551.45,17,single_newline
16,long,1263.12,3.03,6216.87,15,single_newline
16,long,1307.91,3.85,3643.44,9,single_newline
16,long,1306.74,4.32,2464.29,5,single_newline
16,long,1306.67,5.98,7998.39,40,single_newline
16,long,1306.63,3.77,5811.17,17,single_newline
16,long,1306.58,4.65,4749.99,16,single_newline
16,long,165.15,2.88,3641.06,10,single_newline
16,long,1306.61,4.50,4197.05,13,single_newline
16,long,1306.58,4.65,4750.06,16,single_newline
16,long,1306.13,3.85,3641.11,9,single_newline
16,long,1306.13,3.85,3641.66,9,single_newline
16,long,1306.49,7.69,8849.52,58,single_newline
16,long,1306.48,4.10,3992.35,11,single_newline
16,long,1306.50,3.93,3849.11,10,single_newline
16,long,1306.45,3.85,3641.62,9,single_newline
16,long,1306.45,4.33,2922.12,7,single_newline
16,long,1306.01,4.47,4659.55,15,single_newline
32,short,927.74,5.63,23659.18,128,none
32,short,924.75,5.63,23656.05,128,none
32,short,924.59,4.90,19888.05,93,none
32,short,924.65,5.63,23656.28,128,none
32,short,924.50,3.36,12517.33,39,none
32,short,924.65,5.63,23656.25,128,none
32,short,446.69,1.38,8397.63,11,none
32,short,924.44,5.63,23656.19,128,none
32,short,924.43,1.24,8169.06,9,none
32,short,924.38,0.32,7149.96,2,none
32,short,924.52,5.63,23656.13,128,none
32,short,924.33,5.63,23656.07,128,none
32,short,924.33,3.35,12269.29,38,none
32,short,924.33,5.63,23656.04,128,none
32,short,923.84,1.44,8579.42,11,none
32,short,923.79,3.72,13822.17,48,none
32,short,923.83,5.63,23655.48,128,none
32,short,923.62,4.46,17279.92,73,none
32,short,923.73,5.63,23654.98,128,none
32,short,923.69,5.63,23655.02,128,none
32,short,923.73,2.99,10966.77,30,none
32,short,923.67,5.63,23655.27,128,none
32,short,923.70,4.40,16612.08,69,none
32,short,923.61,5.63,23655.25,128,none
32,short,923.62,3.17,11652.86,34,none
32,short,923.57,5.63,23655.83,128,none
32,short,923.55,5.50,23653.20,125,none
32,short,923.41,4.48,17669.46,75,none
32,short,923.29,3.84,14462.17,52,none
32,short,923.41,5.63,23652.82,128,none
32,short,923.36,1.44,8578.59,11,none
32,short,923.48,5.63,23654.74,128,none
32,short,980.23,5.97,7677.59,40,none
32,short,525.74,5.54,9009.02,47,none
32,short,976.18,5.84,22879.69,128,none
32,short,976.42,5.84,22883.34,128,none
32,short,976.35,5.59,6522.70,31,none
32,short,976.46,5.84,22886.20,128,none
32,short,976.40,3.62,4017.00,11,none
32,short,976.41,5.84,22883.32,128,none
32,short,976.41,5.40,15042.28,76,none
32,short,976.41,5.81,10790.86,57,none
32,short,976.40,5.84,22883.22,128,none
32,short,976.27,5.84,22886.09,128,none
32,short,976.39,5.73,7082.76,35,none
32,short,976.23,5.80,21492.96,119,none
